t_burn (days),nu_burn (degrees),Minimum Relative Velocity (km/s),Time at Minimum Relative Velocity (days),Delta-V at Minimum Relative Velocity (km/s)
-400.0,69.0909090909091,56.75585673161511,33.17471625779936,14.86772180727516
-400.0,72.72727272727272,56.9789467618697,33.17471625779936,14.919722997625186
-400.0,76.36363636363636,57.18239481304533,33.17471625779936,14.983496733340125
-400.0,80.0,59.152697269653146,19.595571547523484,14.739201398791016
-400.0,83.63636363636364,59.33899907217467,19.595571547523484,14.794741318025604
-400.0,87.27272727272727,59.5049249994893,19.595571547523484,14.861301605157212
-400.0,90.9090909090909,59.6499141454015,19.595571547523484,14.938574820632432
-400.0,94.54545454545455,61.0941507202953,6.016426837247693,14.787433376223374
-400.0,98.18181818181817,61.2297911622105,6.016426837247693,14.8578832805619
-400.0,101.81818181818181,61.34514081855041,6.016426837247693,14.937345883416894
-400.0,105.45454545454545,nan,nan,nan
-400.0,109.0909090909091,nan,nan,nan
-400.0,112.72727272727272,nan,nan,nan
-400.0,116.36363636363636,nan,nan,nan
-400.0,120.0,nan,nan,nan
-400.0,123.63636363636363,nan,nan,nan
-400.0,127.27272727272727,nan,nan,nan
-400.0,130.9090909090909,nan,nan,nan
-400.0,134.54545454545453,nan,nan,nan
-400.0,138.1818181818182,nan,nan,nan
-400.0,141.8181818181818,nan,nan,nan
-400.0,145.45454545454544,nan,nan,nan
-400.0,149.0909090909091,24.85690406733209,399.81162343524704,14.978706893890418
-400.0,152.72727272727272,22.314037221055997,481.28649169690215,14.91424164166843
-400.0,156.36363636363635,20.29829500762486,562.761359958557,14.977506748681371
-400.0,160.0,19.244524745963442,617.0779387996604,14.930153902820622
-400.0,163.63636363636363,18.317324129173176,671.3945176407638,14.966025179513897
-400.0,167.27272727272728,17.73881783868771,712.1319517715913,14.991034385821122
-400.0,170.9090909090909,17.679428074551616,725.7110964818672,14.905114887294902
-400.0,174.54545454545453,17.617124057115415,739.2902411921431,14.911233847161693
-400.0,178.1818181818182,17.78926265796168,739.2902411921431,14.900427452932458
-400.0,181.8181818181818,17.95505416568036,739.2902411921431,14.9790755126459
-400.0,185.45454545454544,18.61757824967124,712.1319517715913,14.892391521606791
-400.0,189.0909090909091,19.309547604777684,684.9736623510397,14.862519612897357
-400.0,192.72727272727272,20.033185029123576,657.8153729304879,14.885812361726318
-400.0,196.36363636363635,20.79101335482711,630.6570835099363,14.957417206653687
-400.0,200.0,21.929222010514994,589.9196493791088,14.892188205811975
-400.0,203.63636363636363,23.170900216645286,549.1822152482813,14.831166753170441
-400.0,207.27272727272725,24.107693226247555,522.0239258277295,14.979834471650365
-400.0,210.9090909090909,25.558916126533607,481.28649169690215,14.914386757330202
-400.0,214.54545454545453,27.167856095098415,440.5490575660746,14.819013666411001
-400.0,218.1818181818182,28.378134492770016,413.3907681455228,14.960278309599829
-400.0,221.8181818181818,30.319990087779882,372.65333401469536,14.789824701419777
-400.0,225.45454545454544,31.783840516996392,345.4950445941436,14.87782290832041
-400.0,229.0909090909091,33.374107391044745,318.33675517359194,14.933547243077545
-400.0,232.72727272727272,35.111558030985975,291.17846575304026,14.94610493879097
-400.0,236.36363636363635,37.02175565020977,264.02017633248863,14.903886051375485
-400.0,240.0,39.136232389343405,236.86188691193695,14.794320944951481
-400.0,243.63636363636363,41.493765615116054,209.70359749138527,14.603577212377497
-400.0,247.27272727272725,42.76229068731009,196.1244527811094,14.823064506712097
-400.0,250.9090909090909,45.56024814357415,168.96616336055772,14.46271724125659
-400.0,254.54545454545453,47.050489268995115,155.38701865028193,14.559755154063753
-400.0,258.1818181818182,48.61561941484324,141.80787394000603,14.598953987356921
-400.0,261.8181818181818,50.257450139777774,128.22872922973025,14.571149276093529
-400.0,265.45454545454544,51.973956813354704,114.64958451945438,14.466191747512944
-400.0,269.09090909090907,53.756392014667256,101.0704398091785,14.272776917391482
-400.0,272.7272727272727,53.516876394533284,101.0704398091785,14.838813570000708
-400.0,276.3636363636364,55.304625637890965,87.49129509890271,14.509750279776899
-400.0,280.0,57.09819884070639,73.91215038862683,14.06111738759032
-400.0,283.6363636363636,56.74500815862746,73.91215038862683,14.571854805197695
-400.0,287.27272727272725,58.43493516849648,60.333005678351036,13.946695870233818
-400.0,290.9090909090909,58.00415680219815,60.333005678351036,14.434390020805589
-400.0,294.54545454545456,57.544685808879315,60.333005678351036,14.939048815308576
-400.0,298.1818181818182,58.98184954593864,46.75386096807516,14.076434031532667
-400.0,301.8181818181818,58.44094282465779,46.75386096807516,14.55897491409453
-400.0,305.45454545454544,59.55889678534392,33.17471625779936,13.485064308124779
-400.0,309.09090909090907,58.93513906947775,33.17471625779936,13.94823279430502
-400.0,312.7272727272727,58.28341845736261,33.17471625779936,14.429610665081475
-400.0,316.3636363636364,57.60440291471368,33.17471625779936,14.926672241848307
-400.0,320.0,58.188211473367744,19.595571547523484,13.581673964206804
-400.0,323.6363636363636,57.42979232251967,19.595571547523484,14.071291417329089
-400.0,327.27272727272725,56.645622421618434,19.595571547523484,14.577110312859373
-400.0,330.9090909090909,56.709375247613266,6.016426837247693,13.033967036814296
-400.0,334.54545454545456,55.85384156624723,6.016426837247693,13.546370160755973
-400.0,338.1818181818182,54.97464867307725,6.016426837247693,14.075827984983782
-400.0,341.8181818181818,54.0728699412319,6.016426837247693,14.619668488474556
-400.0,345.45454545454544,53.64645100978928,-7.562717873028186,12.954985898274423
-400.0,349.09090909090907,52.686579439064,-7.562717873028186,13.526643134814618
-400.0,352.7272727272727,51.707044339581955,-7.562717873028186,14.113035776449486
-400.0,356.3636363636364,50.709284780453196,-7.562717873028186,14.71144676035979
-400.0,360.0,49.98279487039022,-21.14186258330402,13.059566211748605
-700.0,0.0,38.40259203857294,194.26383340297266,14.537889908304932
-700.0,3.6363636363636362,37.18416271390189,210.85499914328756,14.984016967600958
-700.0,7.2727272727272725,37.2056752982538,210.85499914328756,14.841290273092946
-700.0,10.909090909090908,37.232049285881814,210.85499914328756,14.711265644451931
-700.0,14.545454545454545,37.263483442301485,210.85499914328756,14.593531045707413
-700.0,18.18181818181818,37.300120251390766,210.85499914328756,14.487954209262545
-700.0,21.818181818181817,36.11798540211649,227.4461648836023,14.948379574344091
-700.0,25.454545454545453,36.15494303554321,227.4461648836023,14.857997262492558
-700.0,29.09090909090909,36.19751435571784,227.4461648836023,14.780818370642757
-700.0,32.72727272727273,36.2456965178085,227.4461648836023,14.71825073479045
-700.0,36.36363636363636,36.29931427648274,227.4461648836023,14.672225532927492
-700.0,40.0,36.358128001322235,227.4461648836023,14.645301147031473
-700.0,43.63636363636363,36.421769407332846,227.4461648836023,14.640794344717714
-700.0,47.27272727272727,36.48974415718793,227.4461648836023,14.662944291785697
-700.0,50.90909090909091,36.56130911618056,227.4461648836023,14.717115040620783
-700.0,54.54545454545455,36.63541785896055,227.4461648836023,14.810041189079891
-700.0,58.18181818181818,36.710742309936265,227.4461648836023,14.950118214838133
-700.0,61.81818181818181,38.096718766999516,210.85499914328756,14.696425636208351
-700.0,65.45454545454545,38.172308923215695,210.85499914328756,14.962451588042303
-700.0,69.0909090909091,39.674301829111755,194.26383340297266,14.83256543060092
-700.0,72.72727272727272,41.30160393345771,177.67266766265774,14.745103192849935
-700.0,76.36363636363636,43.06595835660216,161.08150192234285,14.67842851102412
-700.0,80.0,44.980668674736165,144.49033618202793,14.60273670005056
-700.0,83.63636363636364,47.05983940283703,127.89917044171304,14.48213461724479
-700.0,87.27272727272727,46.79915029257282,-120.96831566301027,14.750742277142638
-700.0,90.9090909090909,47.55549943497388,-120.96831566301027,14.35641902765033
-700.0,94.54545454545455,48.23769463022385,-120.96831566301027,14.061808009002046
-700.0,98.18181818181817,48.857338868782456,-120.96831566301027,13.841037900365983
-700.0,101.81818181818181,49.4243615000982,-120.96831566301027,13.67569118848375
-700.0,105.45454545454545,49.94681863125,-120.96831566301027,13.552420974913959
-700.0,109.0909090909091,50.43113306097381,-120.96831566301027,13.46135319778498
